G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,6 secs,2020-03-07 9:25.52am,2020-03-07 9:25.46am,54,I-270 [I-270/Us-36] Commerce City CO 80022,+,+,-,-,-,-,-,3,8,16,0.6,-63,0,0,2585,Serial,39.7937542,-104.9147084,Moving,27,2
LA,7 secs,2020-03-07 9:23.52am,2020-03-07 9:23.45am,54,I-270 [I-270/Us-36] Commerce City CO 80022,+,+,-,-,-,-,-,3,8,15,0.8,-61,0,0,2584,Serial,39.8056123,-104.9405542,Moving,31,2
LA,7 secs,2020-03-07 9:21.52am,2020-03-07 9:21.45am,31,6a Denver CO 80229,+,+,-,-,-,-,-,3,8,17,0.6,-61,0,0,2583,Serial,39.824786,-104.9666454,Moving,28,2
LA,7 secs,2020-03-07 9:19.52am,2020-03-07 9:19.45am,64,I-76 Commerce City CO 80022,+,+,-,-,-,-,-,3,8,14,0.8,-70,0,0,2582,Serial,39.8318402,-104.9406762,Moving,35,2
LA,7 secs,2020-03-07 9:17.52am,2020-03-07 9:17.45am,63,I-76 [I-76/Us-6/Us-85] Henderson CO 80640,+,+,-,-,-,-,-,3,8,13,0.8,-63,0,0,2581,Serial,39.855901,-104.9147581,Moving,34,2
LA,7 secs,2020-03-07 9:15.52am,2020-03-07 9:15.45am,64,I-76 [I-76/Us-6] Henderson CO 80640,+,+,-,-,-,-,-,3,8,14,0.8,-35,0,0,2580,Serial,39.8800771,-104.890594,Moving,32,2
LA,7 secs,2020-03-07 9:13.52am,2020-03-07 9:13.45am,56,Us-85 Henderson CO 80640,+,+,-,-,-,-,-,3,8,14,0.8,-68,0,0,2579,Serial,39.9016756,-104.8670697,Moving,17,1
LA,7 secs,2020-03-07 9:12.32am,2020-03-07 9:12.25am,9,12217 Us Highway 85 [Us-85] Brighton CO 80601,+,+,-,-,-,-,-,3,5,15,0.8,-55,0,0,2578,Serial,39.9151537,-104.8567714,Started Moving,0,0
LA,8 secs,2020-03-07 9:12.27am,2020-03-07 9:12.19am,1,12219 Us Highway 85 [Us-85] Brighton CO 80601,+,+,-,-,-,-,-,3,2,14,0.8,-55,0,0,2577,Serial,39.9152543,-104.8567352,Stopped Moving,5,1
LA,7 secs,2020-03-07 9:11.52am,2020-03-07 9:11.45am,52,12273 Us Highway 85 [Us-85] Brighton CO 80601,+,+,-,-,-,-,-,3,8,11,1,-54,0,0,2576,Serial,39.9188699,-104.8546135,Moving,30,2
LA,7 secs,2020-03-07 9:09.52am,2020-03-07 9:09.45am,53,Us-85 Brighton CO 80601,+,+,-,-,-,-,-,3,8,14,0.8,-62,0,0,2575,Serial,39.9439311,-104.8403469,Moving,31,2
LA,7 secs,2020-03-07 9:07.52am,2020-03-07 9:07.45am,40,Us-85 Brighton CO 80601,+,+,-,-,-,-,-,3,8,17,0.6,-69,0,0,2574,Serial,39.9701175,-104.8274977,Moving,3,0
LA,9 secs,2020-03-07 9:07.27am,2020-03-07 9:07.18am,10,W Bromley Ln Brighton CO 80601,+,+,-,-,-,-,-,3,5,16,0.8,-64,0,0,2573,Serial,39.9722968,-104.8282957,Started Moving,0,0
LA,7 secs,2020-03-07 9:07.17am,2020-03-07 9:07.10am,1,15190 Brighton Rd Brighton CO 80601,+,+,-,-,-,-,-,3,2,17,0.6,-67,0,0,2572,Serial,39.9721922,-104.8284593,Stopped Moving,3,1
LA,7 secs,2020-03-07 9:06.52am,2020-03-07 9:06.45am,17,15110 Brighton Rd Brighton CO 80601,+,+,-,-,-,-,-,3,3,16,0.8,-59,0,0,2571,Serial,39.970371,-104.8287088,Roll,1,0
LA,6 secs,2020-03-07 9:06.32am,2020-03-07 9:06.26am,9,991 Platte River Blvd Brighton CO 80601,+,+,-,-,-,-,-,3,5,17,0.6,-68,0,0,2570,Serial,39.9704474,-104.8299144,Started Moving,0,1
LA,6 secs,2020-03-07 9:05.52am,2020-03-07 9:05.46am,1,992 Platte River Blvd Brighton CO 80601,+,+,-,-,-,-,-,3,0,14,0.8,-69,0,0,2569,Serial,39.9707358,-104.8298272,,1,0
LA,7 secs,2020-03-07 9:05.52am,2020-03-07 9:05.45am,0,992 Platte River Blvd Brighton CO 80601,+,+,-,-,-,-,-,3,37,14,0.8,-69,0,0,2568,Serial,39.9707358,-104.8298165,Ignition On,0,0
LA,9 secs,2020-03-07 9:00.12am,2020-03-07 9:00.03am,0,992 Platte River Blvd Brighton CO 80601,-,-,-,-,-,-,-,3,0,14,0.8,-71,0,0,2567,Serial,39.9706714,-104.8296381,,0,0
LA,9 secs,2020-03-07 8:58.12am,2020-03-07 8:58.03am,0,992 Platte River Blvd Brighton CO 80601,-,-,-,-,-,-,-,3,0,13,0.8,-72,0,0,2566,Serial,39.9706499,-104.8296314,,0,0
LA,4 secs,2020-03-07 8:56.06am,2020-03-07 8:56.02am,0,992 Platte River Blvd Brighton CO 80601,-,-,-,-,-,-,-,3,38,13,0.8,-70,0,0,2565,Serial,39.9706875,-104.8296395,Ignition Off,0,0
LA,9 secs,2020-03-07 8:55.21am,2020-03-07 8:55.12am,1,992 Platte River Blvd Brighton CO 80601,+,+,-,-,-,-,-,3,2,14,0.8,-69,0,0,2564,Serial,39.9706687,-104.8296019,Stopped Moving,2,1
LA,13 secs,2020-03-07 8:54.36am,2020-03-07 8:54.23am,17,15151 Brighton Rd Brighton CO 80601,+,+,-,-,-,-,-,3,8,17,0.6,-71,0,0,2563,Serial,39.9716946,-104.8284995,Moving,6,2
LA,11 secs,2020-03-07 8:53.16am,2020-03-07 8:53.05am,3,135 E Bromley Ln Brighton CO 80601,+,+,-,-,-,-,-,3,5,15,0.8,-67,0,0,2562,Serial,39.9723518,-104.8221239,Started Moving,0,0
LA,12 secs,2020-03-07 8:53.01am,2020-03-07 8:52.49am,1,135 E Bromley Ln Brighton CO 80601,+,+,-,-,-,-,-,3,2,14,0.8,-69,0,0,2561,Serial,39.9723518,-104.8219912,Stopped Moving,3,0
LA,13 secs,2020-03-07 8:52.36am,2020-03-07 8:52.23am,25,385 E Bromley Ln Brighton CO 80601,+,+,-,-,-,-,-,3,8,17,0.6,-75,0,0,2560,Serial,39.9723276,-104.8187511,Moving,1,0
LA,10 secs,2020-03-07 8:52.26am,2020-03-07 8:52.16am,12,E Bromley Ln Brighton CO 80601,+,+,-,-,-,-,-,3,5,15,0.8,-72,0,0,2559,Serial,39.9723397,-104.8179866,Started Moving,0,1
LA,12 secs,2020-03-07 8:52.21am,2020-03-07 8:52.09am,0,E Bromley Ln Brighton CO 80601,+,+,-,-,-,-,-,3,2,14,0.8,-72,0,0,2558,Serial,39.972329,-104.8176983,Stopped Moving,4,0
LA,11 secs,2020-03-07 8:51.36am,2020-03-07 8:51.25am,7,795 E Bromley Ln Brighton CO 80601,+,+,-,-,-,-,-,3,5,17,0.6,-76,0,0,2557,Serial,39.9723893,-104.8126946,Started Moving,0,0
LA,14 secs,2020-03-07 8:51.31am,2020-03-07 8:51.17am,1,Bulldog Ave Brighton CO 80601,+,+,-,-,-,-,-,3,2,15,0.6,-75,0,0,2556,Serial,39.9724685,-104.8125659,Stopped Moving,6,1
LA,9 secs,2020-03-07 8:50.31am,2020-03-07 8:50.22am,5,579 Bulldog Ave Brighton CO 80601,+,+,-,-,-,-,-,3,8,16,0.6,-51,0,0,2555,Serial,39.9774493,-104.8125753,Moving,9,2
LA,14 secs,2020-03-07 8:48.36am,2020-03-07 8:48.22am,10,Bush St Brighton CO 80601,+,+,-,-,-,-,-,3,8,16,0.6,-54,0,0,2554,Serial,39.9852291,-104.8123433,Moving,2,1
LA,11 secs,2020-03-07 8:48.01am,2020-03-07 8:47.50am,9,983 Bush St Brighton CO 80601,+,+,-,-,-,-,-,3,3,15,0.8,-57,0,0,2553,Serial,39.9852049,-104.810003,Roll,1,0
LA,9 secs,2020-03-07 8:47.41am,2020-03-07 8:47.32am,9,1099 Bush St Brighton CO 80601,+,+,-,-,-,-,-,3,5,15,0.8,-49,0,0,2552,Serial,39.9852049,-104.8086351,Started Moving,1,1
LA,13 secs,2020-03-07 8:46.56am,2020-03-07 8:46.43am,3,65 S 11th Ave Brighton CO 80601,+,+,-,-,-,-,-,3,2,15,0.8,-41,0,0,2551,Serial,39.9853028,-104.8083186,Stopped Moving,0,0
LA,9 secs,2020-03-07 8:46.36am,2020-03-07 8:46.27am,9,29 S 11th Ave Brighton CO 80601,+,+,-,-,-,-,-,3,5,12,0.8,-49,0,0,2550,Serial,39.9860083,-104.8082945,Started Moving,1,0
