G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
TX,13 secs,2020-03-10 8:55.11am,2020-03-10 8:55.24am,68,West Virginia Tpke [I-64/I-77] Cabin Creek WV 25035,+,+,-,-,-,-,-,3,8,12,0.8,-67,0,0,3071,Serial,38.1926765,-81.4989191,Moving,37,2
TX,13 secs,2020-03-10 8:53.11am,2020-03-10 8:53.24am,69,West Virginia Tpke [I-64/I-77] Charleston WV 25315,+,+,-,-,-,-,-,3,8,14,0.8,-54,0,0,3070,Serial,38.2155692,-81.5300112,Moving,39,2
TX,13 secs,2020-03-10 8:51.11am,2020-03-10 8:51.24am,72,West Virginia Tpke [I-64/I-77] Charleston WV 25315,+,+,-,-,-,-,-,3,8,14,0.8,-57,0,0,3069,Serial,38.238899,-81.5619885,Moving,37,2
TX,12 secs,2020-03-10 8:49.11am,2020-03-10 8:49.23am,64,West Virginia Tpke [I-64/I-77] Charleston WV 25304,+,+,-,-,-,-,-,3,8,14,0.8,-56,0,0,3068,Serial,38.2693662,-81.5736414,Moving,35,2
TX,13 secs,2020-03-10 8:47.11am,2020-03-10 8:47.24am,66,West Virginia Tpke [I-64/I-77] Charleston WV 25304,+,+,-,-,-,-,-,3,8,16,0.6,-51,0,0,3067,Serial,38.2994847,-81.5658898,Moving,35,2
TX,13 secs,2020-03-10 8:45.11am,2020-03-10 8:45.24am,71,I-64 [I-64/I-77] Charleston WV 25306,+,+,-,-,-,-,-,3,8,14,0.8,-33,0,0,3066,Serial,38.3182334,-81.5634664,Moving,39,2
TX,12 secs,2020-03-10 8:43.11am,2020-03-10 8:43.23am,69,I-64 [I-64/I-77] Charleston WV 25311,+,+,-,-,-,-,-,3,8,11,1.1,-48,0,0,3065,Serial,38.3357442,-81.5999244,Moving,35,2
TX,13 secs,2020-03-10 8:41.11am,2020-03-10 8:41.24am,58,I-64 [I-64/I-77] Charleston WV 25301,+,+,-,-,-,-,-,3,8,16,0.6,-42,0,0,3064,Serial,38.3541817,-81.6309884,Moving,31,2
TX,31 secs,2020-03-10 8:39.54am,2020-03-10 8:39.23am,59,I-64 South Charleston WV 25303,+,+,-,-,-,-,-,3,8,14,0.8,-49,0,0,3063,Serial,38.3572488,-81.6578467,Moving,36,2
TX,12 secs,2020-03-10 8:37.11am,2020-03-10 8:37.23am,71,I-64 South Charleston WV 25303,+,+,-,-,-,-,-,3,8,15,0.6,-64,0,0,3062,Serial,38.3615189,-81.6957718,Moving,37,2
TX,12 secs,2020-03-10 8:35.11am,2020-03-10 8:35.23am,69,I-64 Dunbar WV 25064,+,+,-,-,-,-,-,3,8,15,0.6,-41,0,0,3061,Serial,38.3615269,-81.7355583,Moving,39,2
TX,10 secs,2020-03-10 8:33.13am,2020-03-10 8:33.23am,71,I-64 Dunbar WV 25064,+,+,-,-,-,-,-,3,8,16,0.6,-64,0,0,3060,Serial,38.3866324,-81.7670434,Moving,38,2
TX,13 secs,2020-03-10 8:31.11am,2020-03-10 8:31.24am,72,I-64 Charleston WV 25313,+,+,-,-,-,-,-,3,8,15,0.6,-43,0,0,3059,Serial,38.40912,-81.7934028,Moving,38,2
TX,12 secs,2020-03-10 8:29.11am,2020-03-10 8:29.23am,72,I-64 Nitro WV 25143,+,+,-,-,-,-,-,3,8,15,0.6,-63,0,0,3058,Serial,38.4304812,-81.8254713,Moving,39,2
TX,12 secs,2020-03-10 8:27.11am,2020-03-10 8:27.23am,72,I-64 Scott Depot WV 25560,+,+,-,-,-,-,-,3,8,15,0.6,-77,0,0,3057,Serial,38.4520676,-81.8578711,Moving,35,2
TX,12 secs,2020-03-10 8:25.11am,2020-03-10 8:25.23am,62, Scott Depot WV 25560,+,+,-,-,-,-,-,3,8,16,0.6,-48,0,0,3056,Serial,38.4543636,-81.8971064,Moving,32,2
TX,13 secs,2020-03-10 8:23.11am,2020-03-10 8:23.24am,58,245 Us-35 Scott Depot WV 25560,+,+,-,-,-,-,-,3,8,15,0.6,-77,0,0,3055,Serial,38.4743366,-81.9160428,Moving,36,2
TX,13 secs,2020-03-10 8:21.11am,2020-03-10 8:21.24am,64,567 Us-35 Winfield WV 25213,+,+,-,-,-,-,-,3,8,16,0.6,-82,0,0,3054,Serial,38.499945,-81.9311799,Moving,37,2
TX,12 secs,2020-03-10 8:19.11am,2020-03-10 8:19.23am,66,1045 Us-35 Winfield WV 25213,+,+,-,-,-,-,-,3,8,15,0.6,-54,0,0,3053,Serial,38.5284341,-81.9442784,Moving,36,2
TX,36 secs,2020-03-10 8:18.00am,2020-03-10 8:17.24am,69,1249 Us-35 Winfield WV 25213,+,+,-,-,-,-,-,3,8,15,0.6,-78,0,0,3052,Serial,38.5477943,-81.9775298,Moving,37,2
