G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
TX,3 secs,2020-03-09 12:21.07pm,2020-03-09 12:21.04pm,63,Tri-State Tollway [I-294/I-80] Hazel Crest IL 60429,+,+,-,-,-,-,-,3,8,11,0.8,-49,0,0,334,Serial,41.5781408,-87.6634605,Moving,34,2
TX,3 secs,2020-03-09 12:19.07pm,2020-03-09 12:19.04pm,61,Tri-State Tollway [I-294/I-80] Thornton IL 60476,+,+,-,-,-,-,-,3,8,9,1.5,-49,0,0,333,Serial,41.5794564,-87.6230598,Moving,34,2
TX,3 secs,2020-03-09 12:17.07pm,2020-03-09 12:17.04pm,66,Tri-State Tollway [I-294/I-80] Thornton IL 60476,+,+,-,-,-,-,-,3,8,6,3.2,-45,0,0,332,Serial,41.5776687,-87.5829031,Moving,35,2
TX,3 secs,2020-03-09 12:15.07pm,2020-03-09 12:15.04pm,64,Kingery Expy W [I-80/I-94/Us-6] Lansing IL 60438,+,+,-,-,-,-,-,3,8,7,2.2,-60,0,0,331,Serial,41.5778645,-87.5413892,Moving,33,2
TX,3 secs,2020-03-09 12:13.07pm,2020-03-09 12:13.04pm,62,Ramp 1 Hammond IN 46324,+,+,-,-,-,-,-,3,8,7,1.8,-59,0,0,330,Serial,41.5743106,-87.5029464,Moving,32,2
TX,3 secs,2020-03-09 12:11.07pm,2020-03-09 12:11.04pm,54,Borman Expy [I-80/I-94/Us-6] Hammond IN 46323,+,+,-,-,-,-,-,3,8,8,1.2,-56,0,0,329,Serial,41.5741872,-87.464214,Moving,30,2
TX,3 secs,2020-03-09 12:09.07pm,2020-03-09 12:09.04pm,64,Borman Expy [I-80/I-94/Us-6] Gary IN 46406,+,+,-,-,-,-,-,3,8,6,1.3,-49,0,0,328,Serial,41.5699748,-87.4292205,Moving,35,2
TX,3 secs,2020-03-09 12:07.07pm,2020-03-09 12:07.04pm,66,Borman Expy [I-80/I-94/Us-6] Gary IN 46404,+,+,-,-,-,-,-,3,8,11,0.8,-48,0,0,327,Serial,41.5697589,-87.3879547,Moving,32,2
TX,3 secs,2020-03-09 12:05.07pm,2020-03-09 12:05.04pm,61,Borman Expy [I-80/I-94/Us-6] Gary IN 46407,+,+,-,-,-,-,-,3,8,7,1.7,-55,0,0,326,Serial,41.5677942,-87.3492357,Moving,33,2
TX,3 secs,2020-03-09 12:03.07pm,2020-03-09 12:03.04pm,60,Borman Expy [I-80/I-94/Us-6] Gary IN 46407,+,+,-,-,-,-,-,3,8,8,1.2,-65,0,0,325,Serial,41.5676815,-87.3104362,Moving,34,2
TX,33 secs,2020-03-09 12:01.36pm,2020-03-09 12:01.03pm,62,Borman Expy [I-80/I-94/Us-6] Lake Station IN 46405,+,+,-,-,-,-,-,3,8,7,2,-61,0,0,324,Serial,41.5747921,-87.2708092,Moving,33,2
TX,4 secs,2020-03-09 11:59.07am,2020-03-09 11:59.03am,64, Lake Station IN 46405,+,+,-,-,-,-,-,3,8,6,2.5,-43,0,0,323,Serial,41.5851883,-87.2344492,Moving,33,2
TX,3 secs,2020-03-09 11:57.07am,2020-03-09 11:57.04am,61,I-94 Portage IN 46368,+,+,-,-,-,-,-,3,8,8,1.2,-78,0,0,322,Serial,41.598716,-87.2008827,Moving,34,2
TX,2 secs,2020-03-09 11:55.06am,2020-03-09 11:55.04am,63,I-94 Portage IN 46368,+,+,-,-,-,-,-,3,8,6,1.2,-58,0,0,321,Serial,41.6019253,-87.160891,Moving,35,2
TX,7 secs,2020-03-09 11:53.11am,2020-03-09 11:53.04am,63,I-94 Chesterton IN 46304,+,+,-,-,-,-,-,3,8,6,1.3,-50,0,0,320,Serial,41.6072843,-87.1215604,Moving,34,2
TX,5 secs,2020-03-09 11:51.09am,2020-03-09 11:51.04am,63,I-94 Chesterton IN 46304,+,+,-,-,-,-,-,3,8,5,1.3,-71,0,0,319,Serial,41.6158473,-87.0842831,Moving,35,2
TX,7 secs,2020-03-09 11:49.11am,2020-03-09 11:49.04am,63,I-94 Chesterton IN 46304,+,+,-,-,-,-,-,3,8,7,1.6,-67,0,0,318,Serial,41.6243606,-87.0479901,Moving,34,2
TX,6 secs,2020-03-09 11:47.10am,2020-03-09 11:47.04am,63,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,5,1.5,-65,0,0,317,Serial,41.6341708,-87.0106215,Moving,13,0
TX,8 secs,2020-03-09 11:46.13am,2020-03-09 11:46.05am,3, Michigan City IN 46360,+,+,-,-,-,-,-,3,5,9,1,-52,0,0,316,Serial,41.6410802,-86.9983759,Started Moving,1,1
TX,7 secs,2020-03-09 11:45.36am,2020-03-09 11:45.29am,3, Michigan City IN 46360,+,+,-,-,-,-,-,3,2,8,0.8,-51,0,0,315,Serial,41.6412693,-86.9980286,Stopped Moving,1,1
TX,7 secs,2020-03-09 11:45.11am,2020-03-09 11:45.04am,12, Michigan City IN 46360,+,+,-,-,-,-,-,3,8,8,1,-46,0,0,314,Serial,41.6416636,-86.997291,Moving,19,2
TX,7 secs,2020-03-09 11:43.11am,2020-03-09 11:43.04am,63,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,9,0.8,-60,0,0,313,Serial,41.6515193,-86.9795978,Moving,35,2
TX,5 secs,2020-03-09 11:41.09am,2020-03-09 11:41.04am,59,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,4,3.2,-71,0,0,312,Serial,41.6588699,-86.9411242,Moving,35,2
TX,7 secs,2020-03-09 11:39.11am,2020-03-09 11:39.04am,60,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,5,2,-67,0,0,311,Serial,41.6584421,-86.8998865,Moving,35,2
TX,8 secs,2020-03-09 11:37.11am,2020-03-09 11:37.03am,60,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,4,1.7,-54,0,0,310,Serial,41.6664083,-86.8626119,Moving,35,2
TX,4 secs,2020-03-09 11:35.08am,2020-03-09 11:35.04am,62,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,6,1.2,-80,0,0,309,Serial,41.6792655,-86.8273475,Moving,34,2
TX,7 secs,2020-03-09 11:33.11am,2020-03-09 11:33.04am,67,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,8,1.2,-68,0,0,308,Serial,41.7041751,-86.8068541,Moving,36,2
TX,6 secs,2020-03-09 11:31.10am,2020-03-09 11:31.04am,63,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,6,1.5,-78,0,0,307,Serial,41.73229,-86.7955701,Moving,34,2
TX,4 secs,2020-03-09 11:29.08am,2020-03-09 11:29.04am,63,I-94 Michigan City IN 46360,+,+,-,-,-,-,-,3,8,9,0.8,-69,0,0,306,Serial,41.7522202,-86.7641225,Moving,35,2
TX,6 secs,2020-03-09 11:27.10am,2020-03-09 11:27.04am,61,I-94 New Buffalo MI 49117,+,+,-,-,-,-,-,3,8,9,0.8,-56,0,0,305,Serial,41.7728531,-86.7332878,Moving,33,2
TX,5 secs,2020-03-09 11:25.09am,2020-03-09 11:25.04am,58,I-94 New Buffalo MI 49117,+,+,-,-,-,-,-,3,8,8,1.1,-54,0,0,304,Serial,41.7960958,-86.7106875,Moving,34,2
