G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,? Odo hm,? Eng min
TX,12 secs,2020-03-10 12:33.12pm,2020-03-10 12:33.24pm,72,I-40 [I-40/I-85] Whitsett NC 27377,+,+,-,-,-,-,-,3,8,17,0.6,-50,0,0,3182,Serial,36.06063,-79.5906506,Moving,38,2
TX,12 secs,2020-03-10 12:31.12pm,2020-03-10 12:31.24pm,71,I-40 [I-40/I-85] McLeansville NC 27301,+,+,-,-,-,-,-,3,8,17,0.6,-33,0,0,3181,Serial,36.0578365,-79.6333112,Moving,39,2
TX,,2020-03-10 12:29.24pm,2020-03-10 12:29.24pm,67,I-40 [I-40/I-85-Br] Greensboro NC 27405,+,+,-,-,-,-,-,3,8,17,0.6,-64,0,0,3180,Serial,36.0590019,-79.6764304,Moving,39,2
TX,12 secs,2020-03-10 12:27.12pm,2020-03-10 12:27.24pm,72,I-40 [I-40/I-85-Br] Greensboro NC 27405,+,+,-,-,-,-,-,3,8,17,0.6,-60,0,0,3179,Serial,36.0551221,-79.7190466,Moving,38,2
TX,11 secs,2020-03-10 12:25.12pm,2020-03-10 12:25.23pm,68,I-40 [I-40/I-85-Br] Greensboro NC 27406,+,+,-,-,-,-,-,3,8,17,0.6,-55,0,0,3178,Serial,36.046602,-79.7599061,Moving,36,2
TX,11 secs,2020-03-10 12:23.12pm,2020-03-10 12:23.23pm,66,I-40 [I-40/I-85-Br/Us-29/Us-70/Us-220] Greensboro NC 27406,+,+,-,-,-,-,-,3,8,17,0.6,-62,0,0,3177,Serial,36.0349036,-79.7955178,Moving,37,2
TX,12 secs,2020-03-10 12:21.12pm,2020-03-10 12:21.24pm,71,Fordham Blvd [I-40] Greensboro NC 27403,+,+,-,-,-,-,-,3,8,16,0.6,-52,0,0,3176,Serial,36.0405201,-79.8322855,Moving,37,2
TX,12 secs,2020-03-10 12:19.12pm,2020-03-10 12:19.24pm,68,Fordham Blvd [I-40] Greensboro NC 27407,+,+,-,-,-,-,-,3,8,16,0.6,-54,0,0,3175,Serial,36.0493124,-79.8721874,Moving,39,2
TX,12 secs,2020-03-10 12:17.12pm,2020-03-10 12:17.24pm,72,Fordham Blvd [I-40] Greensboro NC 27409,+,+,-,-,-,-,-,3,8,18,0.6,-53,0,0,3174,Serial,36.0637199,-79.9110995,Moving,38,2
TX,13 secs,2020-03-10 12:15.11pm,2020-03-10 12:15.24pm,72,Fordham Blvd [I-40/Us-421] Greensboro NC 27409,+,+,-,-,-,-,-,3,8,18,0.6,-47,0,0,3173,Serial,36.0774032,-79.9496885,Moving,38,2
