G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
TX,11 secs,2020-03-11 12:20.37pm,2020-03-11 12:20.26pm,22,107a Winston-Salem NC 27127,+,+,-,-,-,-,-,3,8,14,0.6,-57,0,0,589,Serial,36.0627677,-80.2322096,Moving,22,2
TX,11 secs,2020-03-11 12:18.37pm,2020-03-11 12:18.26pm,59,John M Gold Fwy [Us-52/Us-311/Nc-8] Winston-Salem NC 27127,+,+,-,-,-,-,-,3,8,14,0.6,-49,0,0,588,Serial,36.0775909,-80.2306016,Moving,33,2
TX,22 secs,2020-03-11 12:16.48pm,2020-03-11 12:16.26pm,52,John M Gold Fwy [Us-52/Us-311/Nc-8] Winston-Salem NC 27101,+,+,-,-,-,-,-,3,8,14,0.6,-44,0,0,587,Serial,36.1047483,-80.2362436,Moving,32,2
TX,10 secs,2020-03-11 12:14.36pm,2020-03-11 12:14.26pm,59,John M Gold Fwy [Us-52/Nc-8] Winston-Salem NC 27105,+,+,-,-,-,-,-,3,8,15,0.6,-54,0,0,586,Serial,36.1314899,-80.2369611,Moving,34,2
TX,11 secs,2020-03-11 12:12.37pm,2020-03-11 12:12.26pm,67,John M Gold Fwy [Us-52/Nc-8] Winston-Salem NC 27105,+,+,-,-,-,-,-,3,8,12,0.8,-67,0,0,585,Serial,36.1569374,-80.2541004,Moving,37,2
TX,10 secs,2020-03-11 12:10.36pm,2020-03-11 12:10.26pm,71,John M Gold Fwy [Us-52] Winston-Salem NC 27105,+,+,-,-,-,-,-,3,8,14,0.6,-42,0,0,584,Serial,36.183447,-80.2770011,Moving,36,2
TX,11 secs,2020-03-11 12:08.37pm,2020-03-11 12:08.26pm,63,John M Gold Fwy [Us-52] Rural Hall NC 27045,+,+,-,-,-,-,-,3,8,15,0.6,-66,0,0,583,Serial,36.2088086,-80.3018129,Moving,36,2
TX,10 secs,2020-03-11 12:06.36pm,2020-03-11 12:06.26pm,67,John M Gold Fwy [Us-52] Rural Hall NC 27045,+,+,-,-,-,-,-,3,8,14,0.6,-75,0,0,582,Serial,36.2316933,-80.330015,Moving,38,2
TX,11 secs,2020-03-11 12:04.37pm,2020-03-11 12:04.26pm,69,John M Gold Fwy [Us-52] King NC 27021,+,+,-,-,-,-,-,3,8,13,0.8,-59,0,0,581,Serial,36.2551143,-80.3597942,Moving,37,2
TX,11 secs,2020-03-11 12:02.37pm,2020-03-11 12:02.26pm,74,Us-52 King NC 27021,+,+,-,-,-,-,-,3,8,13,0.6,-43,0,0,580,Serial,36.2799998,-80.3874894,Moving,37,2
TX,11 secs,2020-03-11 12:00.37pm,2020-03-11 12:00.26pm,56,Us-52 King NC 27021,+,+,-,-,-,-,-,3,8,14,0.6,99,0,0,579,Serial,36.3026203,-80.4169883,Moving,38,2
TX,11 secs,2020-03-11 11:58.37am,2020-03-11 11:58.26am,68,Us-52 Pinnacle NC 27043,+,+,-,-,-,-,-,3,8,13,0.8,-57,0,0,578,Serial,36.3241839,-80.4485861,Moving,37,2
TX,12 secs,2020-03-11 11:56.37am,2020-03-11 11:56.25am,67,Pilot Mountain Pkwy [Us-52] Pinnacle NC 27043,+,+,-,-,-,-,-,3,8,12,0.8,-65,0,0,577,Serial,36.3533569,-80.4698868,Moving,38,2
TX,30 secs,2020-03-11 11:54.56am,2020-03-11 11:54.26am,68,Pilot Mountain Pkwy [Us-52] Pilot Mountain NC 27041,+,+,-,-,-,-,-,3,8,12,0.8,-75,0,0,576,Serial,36.3827901,-80.4893208,Moving,37,2
TX,11 secs,2020-03-11 11:52.37am,2020-03-11 11:52.26am,69,Pilot Mountain Pkwy [Us-52] Pilot Mountain NC 27041,+,+,-,-,-,-,-,3,8,12,0.8,-46,0,0,575,Serial,36.4122287,-80.5042339,Moving,39,2
TX,10 secs,2020-03-11 11:50.36am,2020-03-11 11:50.26am,69,Pilot Mountain Pkwy [Us-52] Pilot Mountain NC 27041,+,+,-,-,-,-,-,3,8,11,0.8,-63,0,0,574,Serial,36.4372497,-80.5344007,Moving,39,2
TX,11 secs,2020-03-11 11:48.37am,2020-03-11 11:48.26am,68,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,14,0.6,-49,0,0,573,Serial,36.4419101,-80.5717115,Moving,38,2
TX,11 secs,2020-03-11 11:46.37am,2020-03-11 11:46.26am,68, Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,16,0.6,-53,0,0,572,Serial,36.4456786,-80.6132791,Moving,39,2
TX,11 secs,2020-03-11 11:44.37am,2020-03-11 11:44.26am,75,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,16,0.6,-66,0,0,571,Serial,36.4597293,-80.6518533,Moving,40,2
TX,11 secs,2020-03-11 11:42.37am,2020-03-11 11:42.26am,72,C Richard Vaughn Hwy [I-74] Mt Airy NC 27030,+,+,-,-,-,-,-,3,8,16,0.6,-66,0,0,570,Serial,36.4719535,-80.6926389,Moving,39,2
