G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,6 secs,2020-03-09 1:51.05pm,2020-03-09 1:50.59pm,0,1235 S 3200 W Salt Lake City UT 84104,-,-,-,-,-,-,-,3,41,16,0.6,-59,0,0,1580,Serial,40.7430484,-111.9674152,Heartbeat,0,0
LA,6 secs,2020-03-09 1:51.05am,2020-03-09 1:50.59am,0,1235 S 3200 W Salt Lake City UT 84104,-,-,-,-,-,-,-,3,41,15,0.6,-62,0,0,1579,Serial,40.743039,-111.9673897,Heartbeat,0,0
LA,2 secs,2020-03-08 1:51.01pm,2020-03-08 1:50.59pm,0,1235 S 3200 W Salt Lake City UT 84104,-,-,-,-,-,-,-,3,41,13,0.6,-64,0,0,1578,Serial,40.743031,-111.9673964,Heartbeat,0,0
LA,9 secs,2020-03-08 12:51.06am,2020-03-08 12:50.57am,0,1235 S 3200 W Salt Lake City UT 84104,-,-,-,-,-,-,-,3,41,14,0.6,-65,0,0,1577,Serial,40.743031,-111.9673749,Heartbeat,0,0
LA,8 secs,2020-03-07 12:51.00pm,2020-03-07 12:50.52pm,0,1235 S 3200 W Salt Lake City UT 84104,-,-,-,-,-,-,-,3,0,12,0.8,-62,0,0,1576,Serial,40.7430886,-111.9674433,,0,0
LA,8 secs,2020-03-07 12:49.00pm,2020-03-07 12:48.52pm,0,1235 S 3200 W Salt Lake City UT 84104,-,-,-,-,-,-,-,3,0,14,0.8,-61,0,0,1575,Serial,40.7430873,-111.967442,,0,0
LA,9 secs,2020-03-07 12:47.01pm,2020-03-07 12:46.52pm,0,1235 S 3200 W Salt Lake City UT 84104,-,-,-,-,-,-,-,3,38,15,0.6,-65,0,0,1574,Serial,40.74309,-111.9674447,Ignition Off,0,0
LA,4 secs,2020-03-07 12:46.25pm,2020-03-07 12:46.21pm,0,1235 S 3200 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,0,15,0.6,-64,0,0,1573,Serial,40.74309,-111.967446,,0,2
LA,4 secs,2020-03-07 12:44.25pm,2020-03-07 12:44.21pm,0,1235 S 3200 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,0,14,0.6,-65,0,0,1572,Serial,40.7430752,-111.9673749,,1,2
LA,6 secs,2020-03-07 12:43.05pm,2020-03-07 12:42.59pm,0,1240 S 3200 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,2,17,0.6,-64,0,0,1571,Serial,40.7427292,-111.9674112,Stopped Moving,3,0
LA,4 secs,2020-03-07 12:42.25pm,2020-03-07 12:42.21pm,22,1265 S 3200 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,8,17,0.6,-64,0,0,1570,Serial,40.7409549,-111.9676847,Moving,16,2
LA,4 secs,2020-03-07 12:40.25pm,2020-03-07 12:40.21pm,29,1867 S 3230 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,8,13,0.8,-70,0,0,1569,Serial,40.7308604,-111.9682668,Moving,24,2
LA,4 secs,2020-03-07 12:38.25pm,2020-03-07 12:38.21pm,66, West Valley City UT 84119,+,+,-,-,-,-,-,3,8,15,0.6,-46,0,0,1568,Serial,40.7245478,-111.9449959,Moving,29,2
LA,4 secs,2020-03-07 12:36.25pm,2020-03-07 12:36.21pm,21,2088 S 700 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,8,17,0.6,-42,0,0,1567,Serial,40.725779,-111.9112832,Moving,1,0
LA,7 secs,2020-03-07 12:36.20pm,2020-03-07 12:36.13pm,7,S 700 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,5,17,0.6,-42,0,0,1566,Serial,40.7264026,-111.911188,Started Moving,1,2
LA,22 secs,2020-03-07 12:34.43pm,2020-03-07 12:34.21pm,0,2020 S 700 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,0,14,0.8,-44,0,0,1565,Serial,40.7269122,-111.9117942,,0,1
LA,57 secs,2020-03-07 12:34.40pm,2020-03-07 12:33.43pm,0,2018 S 700 W Salt Lake City UT 84104,+,+,-,-,-,-,-,3,2,15,0.6,-47,0,0,1564,Serial,40.7269484,-111.9117969,Stopped Moving,2,1
