G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,? Odo hm,? Eng min
LA,3 secs,2020-02-14 4:08.43pm,2020-02-14 4:08.40pm,7,Hampton-Mcdonough Rd [Ga-20] McDonough GA 30253,+,+,-,-,-,-,-,3,5,14,0.6,-39,0,0,7096,Serial,33.420447,-84.1891078,Started Moving,0,1
LA,8 secs,2020-02-14 4:08.00pm,2020-02-14 4:07.52pm,2,Hampton-Mcdonough Rd [Ga-20] McDonough GA 30253,+,+,-,-,-,-,-,3,2,14,0.6,-26,0,0,7095,Serial,33.4203062,-84.1893506,Stopped Moving,1,0
LA,5 secs,2020-02-14 4:07.45pm,2020-02-14 4:07.40pm,0,1571 Hampton-Mcdonough Rd [Ga-20] McDonough GA 30253,+,+,-,-,-,-,-,3,5,13,0.8,-33,0,0,7094,Serial,33.4198838,-84.1898039,Started Moving,0,0
LA,4 secs,2020-02-14 4:07.39pm,2020-02-14 4:07.35pm,0,1571 Hampton-Mcdonough Rd [Ga-20] McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-33,0,0,7093,Serial,33.4198864,-84.1898052,,1,2
LA,9 secs,2020-02-14 4:05.53pm,2020-02-14 4:05.44pm,1,1627 Hampton-Mcdonough Rd [Ga-20] McDonough GA 30253,+,+,-,-,-,-,-,3,2,12,0.8,-42,0,0,7092,Serial,33.4192762,-84.1906648,Stopped Moving,1,0
LA,16 secs,2020-02-14 4:05.48pm,2020-02-14 4:05.32pm,26,1643 Hampton-Mcdonough Rd [Ga-20] McDonough GA 30253,+,+,-,-,-,-,-,3,8,15,0.6,-46,0,0,7091,Serial,33.4189007,-84.1911101,Moving,11,1
LA,8 secs,2020-02-14 4:04.38pm,2020-02-14 4:04.30pm,7,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,5,15,0.6,-63,0,0,7090,Serial,33.4125265,-84.1992895,Started Moving,0,0
LA,5 secs,2020-02-14 4:04.28pm,2020-02-14 4:04.23pm,2,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,2,13,0.8,-63,0,0,7089,Serial,33.4124648,-84.1992868,Stopped Moving,4,1
LA,7 secs,2020-02-14 4:03.49pm,2020-02-14 4:03.42pm,7,161 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,5,15,0.6,-68,0,0,7088,Serial,33.409572,-84.1969989,Started Moving,0,0
LA,7 secs,2020-02-14 4:03.40pm,2020-02-14 4:03.33pm,1,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,2,15,0.6,-66,0,0,7087,Serial,33.4093614,-84.1970592,Stopped Moving,2,1
LA,7 secs,2020-02-14 4:02.58pm,2020-02-14 4:02.51pm,10,168 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,5,14,0.8,-67,0,0,7086,Serial,33.4088384,-84.1991232,Started Moving,1,0
LA,6 secs,2020-02-14 4:02.28pm,2020-02-14 4:02.22pm,1,180 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,2,14,0.6,-65,0,0,7085,Serial,33.4087003,-84.1995269,Stopped Moving,1,1
LA,10 secs,2020-02-14 4:02.10pm,2020-02-14 4:02.00pm,7,188 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,5,15,0.6,-67,0,0,7084,Serial,33.4085259,-84.1981482,Started Moving,1,0
LA,7 secs,2020-02-14 4:01.40pm,2020-02-14 4:01.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-63,0,0,7083,Serial,33.4084575,-84.1979591,,0,2
LA,7 secs,2020-02-14 3:59.40pm,2020-02-14 3:59.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-64,0,0,7082,Serial,33.4084589,-84.1979591,,0,2
LA,7 secs,2020-02-14 3:57.40pm,2020-02-14 3:57.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-64,0,0,7081,Serial,33.4084589,-84.1979591,,0,2
LA,4 secs,2020-02-14 3:55.37pm,2020-02-14 3:55.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-65,0,0,7080,Serial,33.4084589,-84.1979578,,0,2
LA,5 secs,2020-02-14 3:53.38pm,2020-02-14 3:53.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-63,0,0,7079,Serial,33.4084589,-84.1979564,,0,2
LA,5 secs,2020-02-14 3:51.38pm,2020-02-14 3:51.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-63,0,0,7078,Serial,33.4084589,-84.1979564,,0,2
LA,6 secs,2020-02-14 3:49.39pm,2020-02-14 3:49.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,1,-68,0,0,7077,Serial,33.4084589,-84.1979564,,0,2
LA,6 secs,2020-02-14 3:47.39pm,2020-02-14 3:47.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,1,-67,0,0,7076,Serial,33.4084602,-84.1979551,,0,2
LA,6 secs,2020-02-14 3:45.39pm,2020-02-14 3:45.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,1.1,-65,0,0,7075,Serial,33.4084616,-84.1979537,,0,2
LA,31 secs,2020-02-14 3:44.04pm,2020-02-14 3:43.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-69,0,0,7074,Serial,33.4084616,-84.1979537,,0,2
LA,6 secs,2020-02-14 3:41.38pm,2020-02-14 3:41.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-64,0,0,7073,Serial,33.4084602,-84.1979537,,0,2
LA,6 secs,2020-02-14 3:39.39pm,2020-02-14 3:39.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-66,0,0,7072,Serial,33.4084616,-84.1979524,,0,2
LA,6 secs,2020-02-14 3:37.39pm,2020-02-14 3:37.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-65,0,0,7071,Serial,33.4084616,-84.1979524,,0,2
LA,6 secs,2020-02-14 3:35.39pm,2020-02-14 3:35.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-66,0,0,7070,Serial,33.4084616,-84.1979511,,0,2
LA,6 secs,2020-02-14 3:33.39pm,2020-02-14 3:33.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-66,0,0,7069,Serial,33.4084616,-84.1979511,,0,2
LA,6 secs,2020-02-14 3:31.39pm,2020-02-14 3:31.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-67,0,0,7068,Serial,33.4084616,-84.1979511,,0,2
LA,6 secs,2020-02-14 3:29.39pm,2020-02-14 3:29.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,0.8,-63,0,0,7067,Serial,33.4084616,-84.1979497,,0,2
LA,6 secs,2020-02-14 3:27.38pm,2020-02-14 3:27.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-66,0,0,7066,Serial,33.4084616,-84.1979497,,0,2
LA,5 secs,2020-02-14 3:25.38pm,2020-02-14 3:25.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-66,0,0,7065,Serial,33.4084616,-84.1979484,,0,2
LA,5 secs,2020-02-14 3:23.38pm,2020-02-14 3:23.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,1,-68,0,0,7064,Serial,33.4084629,-84.197947,,0,2
LA,47 secs,2020-02-14 3:22.20pm,2020-02-14 3:21.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,9,1.2,-65,0,0,7063,Serial,33.4084589,-84.1979457,,0,2
LA,6 secs,2020-02-14 3:19.38pm,2020-02-14 3:19.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,1.1,-66,0,0,7062,Serial,33.4084589,-84.1979457,,0,2
LA,6 secs,2020-02-14 3:17.38pm,2020-02-14 3:17.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,1.1,-66,0,0,7061,Serial,33.4084589,-84.1979444,,0,2
LA,6 secs,2020-02-14 3:15.38pm,2020-02-14 3:15.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-65,0,0,7060,Serial,33.4084589,-84.1979444,,0,2
LA,5 secs,2020-02-14 3:13.38pm,2020-02-14 3:13.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,1.1,-64,0,0,7059,Serial,33.4084589,-84.1979444,,0,2
LA,9 secs,2020-02-14 3:11.42pm,2020-02-14 3:11.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-64,0,0,7058,Serial,33.4084602,-84.197943,,0,2
LA,5 secs,2020-02-14 3:09.38pm,2020-02-14 3:09.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,9,1,-64,0,0,7057,Serial,33.4084602,-84.1979417,,0,2
LA,5 secs,2020-02-14 3:07.38pm,2020-02-14 3:07.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,0.8,-62,0,0,7056,Serial,33.4084602,-84.1979417,,0,2
LA,6 secs,2020-02-14 3:05.38pm,2020-02-14 3:05.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,0.8,-66,0,0,7055,Serial,33.4084575,-84.1979403,,0,2
LA,5 secs,2020-02-14 3:03.38pm,2020-02-14 3:03.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,1.1,-65,0,0,7054,Serial,33.4084575,-84.197939,,0,2
LA,5 secs,2020-02-14 3:01.38pm,2020-02-14 3:01.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,10,1.1,-68,0,0,7053,Serial,33.4084575,-84.197939,,0,2
LA,5 secs,2020-02-14 2:59.38pm,2020-02-14 2:59.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,1,-66,0,0,7052,Serial,33.4084562,-84.197939,,0,2
LA,5 secs,2020-02-14 2:57.38pm,2020-02-14 2:57.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-63,0,0,7051,Serial,33.4084562,-84.1979376,,0,2
LA,6 secs,2020-02-14 2:55.39pm,2020-02-14 2:55.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.6,-66,0,0,7050,Serial,33.4084562,-84.1979376,,0,2
LA,5 secs,2020-02-14 2:53.38pm,2020-02-14 2:53.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-64,0,0,7049,Serial,33.4084549,-84.1979376,,0,2
LA,5 secs,2020-02-14 2:51.38pm,2020-02-14 2:51.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-62,0,0,7048,Serial,33.4084549,-84.1979376,,0,2
LA,31 secs,2020-02-14 2:50.04pm,2020-02-14 2:49.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.6,-67,0,0,7047,Serial,33.4084562,-84.1979376,,0,2
LA,7 secs,2020-02-14 2:47.39pm,2020-02-14 2:47.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-63,0,0,7046,Serial,33.4084562,-84.1979376,,0,2
LA,6 secs,2020-02-14 2:45.38pm,2020-02-14 2:45.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-55,0,0,7045,Serial,33.4084549,-84.1979376,,0,2
LA,7 secs,2020-02-14 2:43.39pm,2020-02-14 2:43.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.8,-64,0,0,7044,Serial,33.4084535,-84.1979376,,0,2
LA,6 secs,2020-02-14 2:41.39pm,2020-02-14 2:41.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-64,0,0,7043,Serial,33.4084535,-84.1979363,,0,2
LA,6 secs,2020-02-14 2:39.39pm,2020-02-14 2:39.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-66,0,0,7042,Serial,33.4084535,-84.197935,,0,2
LA,7 secs,2020-02-14 2:37.39pm,2020-02-14 2:37.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-65,0,0,7041,Serial,33.4084522,-84.1979363,,0,2
LA,6 secs,2020-02-14 2:35.39pm,2020-02-14 2:35.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,0.8,-65,0,0,7040,Serial,33.4084508,-84.1979363,,0,2
LA,7 secs,2020-02-14 2:33.39pm,2020-02-14 2:33.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-64,0,0,7039,Serial,33.4084495,-84.197935,,0,2
LA,6 secs,2020-02-14 2:31.39pm,2020-02-14 2:31.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.6,-66,0,0,7038,Serial,33.4084482,-84.197935,,0,2
LA,6 secs,2020-02-14 2:29.39pm,2020-02-14 2:29.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.8,-65,0,0,7037,Serial,33.4084482,-84.1979336,,0,2
LA,39 secs,2020-02-14 2:28.12pm,2020-02-14 2:27.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.8,-66,0,0,7036,Serial,33.4084455,-84.1979336,,0,2
LA,6 secs,2020-02-14 2:25.39pm,2020-02-14 2:25.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-66,0,0,7035,Serial,33.4084455,-84.1979336,,0,2
LA,6 secs,2020-02-14 2:23.39pm,2020-02-14 2:23.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.8,-66,0,0,7034,Serial,33.4084455,-84.197935,,0,2
LA,6 secs,2020-02-14 2:21.39pm,2020-02-14 2:21.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-70,0,0,7033,Serial,33.4084455,-84.197935,,0,2
LA,7 secs,2020-02-14 2:19.39pm,2020-02-14 2:19.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-65,0,0,7032,Serial,33.4084441,-84.197935,,0,2
LA,27 secs,2020-02-14 2:17.59pm,2020-02-14 2:17.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,9,1.2,-67,0,0,7031,Serial,33.4084428,-84.197935,,0,2
LA,"1 min, 55 secs",2020-02-14 2:17.28pm,2020-02-14 2:15.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,9,1.2,-62,0,0,7030,Serial,33.4084414,-84.1979363,,0,2
LA,10 secs,2020-02-14 2:13.42pm,2020-02-14 2:13.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,1,-64,0,0,7029,Serial,33.4084696,-84.1979457,,0,2
LA,9 secs,2020-02-14 2:11.42pm,2020-02-14 2:11.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,9,1.2,-65,0,0,7028,Serial,33.408471,-84.1979457,,0,2
LA,9 secs,2020-02-14 2:09.41pm,2020-02-14 2:09.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,11,1,-64,0,0,7027,Serial,33.408475,-84.1979457,,0,2
LA,55 secs,2020-02-14 2:08.27pm,2020-02-14 2:07.32pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,12,1,-65,0,0,7026,Serial,33.4084763,-84.197947,,0,2
LA,8 secs,2020-02-14 2:05.41pm,2020-02-14 2:05.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-66,0,0,7025,Serial,33.4084803,-84.1979484,,0,2
LA,8 secs,2020-02-14 2:03.41pm,2020-02-14 2:03.33pm,0,Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,9,1.2,-68,0,0,7024,Serial,33.4084817,-84.1979484,,1,2
LA,8 secs,2020-02-14 2:01.41pm,2020-02-14 2:01.33pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,15,0.6,-64,0,0,7023,Serial,33.4085192,-84.1974374,,0,2
LA,8 secs,2020-02-14 1:59.41pm,2020-02-14 1:59.33pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.8,-68,0,0,7022,Serial,33.4085179,-84.1974374,,0,2
LA,11 secs,2020-02-14 1:57.44pm,2020-02-14 1:57.33pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.6,-58,0,0,7021,Serial,33.4085166,-84.1974374,,0,2
LA,8 secs,2020-02-14 1:55.41pm,2020-02-14 1:55.33pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,15,0.6,-59,0,0,7020,Serial,33.4085125,-84.1974374,,0,2
LA,8 secs,2020-02-14 1:53.41pm,2020-02-14 1:53.33pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.6,-61,0,0,7019,Serial,33.4085072,-84.1974388,,0,2
LA,8 secs,2020-02-14 1:51.41pm,2020-02-14 1:51.33pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.6,-64,0,0,7018,Serial,33.4085072,-84.1974388,,0,2
LA,8 secs,2020-02-14 1:49.40pm,2020-02-14 1:49.32pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.8,-57,0,0,7017,Serial,33.4085058,-84.1974388,,0,1
LA,8 secs,2020-02-14 1:48.26pm,2020-02-14 1:48.18pm,2,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,2,15,0.6,-63,0,0,7016,Serial,33.4086332,-84.1974508,Stopped Moving,2,1
LA,5 secs,2020-02-14 1:47.59pm,2020-02-14 1:47.54pm,5,160 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,5,14,0.8,-63,0,0,7015,Serial,33.4086533,-84.1988697,Started Moving,0,0
LA,7 secs,2020-02-14 1:47.40pm,2020-02-14 1:47.33pm,0,160 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,14,0.6,-59,0,0,7014,Serial,33.4086761,-84.1990038,,0,1
LA,4 secs,2020-02-14 1:46.34pm,2020-02-14 1:46.30pm,1,160 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,2,15,0.6,-64,0,0,7013,Serial,33.4086721,-84.1990065,Stopped Moving,1,0
LA,12 secs,2020-02-14 1:46.30pm,2020-02-14 1:46.18pm,24,188 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,10002,14,0.8,-63,0,0,7012,Serial,33.4085152,-84.1983225,Harsh Acceleration,1,1
LA,17 secs,2020-02-14 1:46.27pm,2020-02-14 1:46.10pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,5,13,0.8,-63,0,0,7011,Serial,33.4085487,-84.1973502,Started Moving,0,0
LA,40 secs,2020-02-14 1:46.13pm,2020-02-14 1:45.33pm,0,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,0,13,0.8,-67,0,0,7010,Serial,33.4085474,-84.1973543,,0,0
LA,55 secs,2020-02-14 1:46.07pm,2020-02-14 1:45.12pm,1,196 Westridge Pkwy McDonough GA 30253,+,+,-,-,-,-,-,3,2,14,0.8,-60,0,0,7009,Serial,33.4085608,-84.1973127,Stopped Moving,6,1
LA,4 secs,2020-02-14 1:44.19pm,2020-02-14 1:44.15pm,9, McDonough GA 30253,+,+,-,-,-,-,-,3,5,15,0.6,-64,0,0,7008,Serial,33.4126807,-84.1991795,Started Moving,0,1
