G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,Lat, Lon,Triggered By,Δ Odo hm,Δ Eng min
LA,8 secs,2020-03-10 3:59.05pm,2020-03-10 3:58.57pm,0,5290 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,0,10,1.1,-71,0,0,3,Serial,33.6096232,-84.3802769,,0,0
LA,46 secs,2020-03-10 3:57.43pm,2020-03-10 3:56.57pm,0,5290 Old Dixie Hwy [Us-19/Us-41/Ga-3] Forest Park GA 30297,-,-,-,-,-,-,-,3,0,9,1.1,-70,0,0,2,Serial,33.6096192,-84.3801683,,0,0
LA,8 secs,2020-03-10 3:55.15pm,2020-03-10 3:55.07pm,0, Forest Park GA 30297,-,-,-,-,-,-,-,1,43,??,0,-77,0,0,1,Serial,33.6096568,-84.3805036,System Reboot,0,0
LA,5 secs,2020-03-10 3:52.17pm,2020-03-10 3:52.12pm,0, Forest Park GA 30297,-,-,-,-,-,-,-,3,38,9,1.2,-66,0,0,649,Serial,33.6096568,-84.3805036,Ignition Off,0,0
LA,5 secs,2020-03-10 3:52.07pm,2020-03-10 3:52.02pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,10,1,-77,0,0,648,Serial,33.6096527,-84.3805304,,0,2
LA,6 secs,2020-03-10 3:50.07pm,2020-03-10 3:50.01pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,8,1.2,-77,0,0,647,Serial,33.6096501,-84.380529,,1,2
LA,5 secs,2020-03-10 3:48.07pm,2020-03-10 3:48.02pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,11,1,-72,0,0,646,Serial,33.609591,-84.3805746,,0,2
LA,24 secs,2020-03-10 3:46.56pm,2020-03-10 3:46.32pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,2,14,0.8,-73,0,0,645,Serial,33.6096179,-84.380576,Stopped Moving,1,0
LA,47 secs,2020-03-10 3:46.48pm,2020-03-10 3:46.01pm,9, Forest Park GA 30297,+,+,-,-,-,-,-,3,8,16,0.6,-74,0,0,644,Serial,33.6103474,-84.3805854,Moving,1,0
LA,58 secs,2020-03-10 3:46.43pm,2020-03-10 3:45.45pm,10, Forest Park GA 30297,+,+,-,-,-,-,-,3,5,16,0.6,-68,0,0,643,Serial,33.6103541,-84.3796318,Started Moving,1,2
LA,6 secs,2020-03-10 3:44.07pm,2020-03-10 3:44.01pm,0, Forest Park GA 30297,+,+,-,-,-,-,-,3,0,14,0.8,-80,0,0,642,Serial,33.6104735,-84.3795393,,0,2
