G,"Point Latency","Time Received","Time Captured",MPH,Address,I0,"Engine On",I1,I2,I3,I4,I5,GPS,"Event Code",Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon","Triggered By","Δ Odo hm","Δ Eng min"
"LA","10 secs","2020-03-12 12:54.35pm","2020-03-12 12:54.25pm",9,"E Jennings Way [I-80-Bl/Nv-535] Elko NV 89801","+","+","-","-","-","-","-",3,5,16,"0.6","-58",0,0,514,"Serial","40.8509657,-115.7454329","Started Moving",0,1
"LA","9 secs","2020-03-12 12:53.30pm","2020-03-12 12:53.21pm",0,"E Jennings Way [I-80-Bl/Nv-535] Elko NV 89801","+","+","-","-","-","-","-",3,0,16,"0.6","-50",0,0,513,"Serial","40.8509979,-115.7455415","",1,1
"LA","9 secs","2020-03-12 12:52.40pm","2020-03-12 12:52.31pm",7,"E Jennings Way [I-80-Bl/Nv-535] Elko NV 89801","+","+","-","-","-","-","-",3,2,16,"0.6","-45",0,0,512,"Serial","40.8511293,-115.7457695","Stopped Moving",3,1
"LA","11 secs","2020-03-12 12:52.10pm","2020-03-12 12:52.21pm",18,"E Jennings Way [I-80-Bl/Nv-535] Elko NV 89801","+","+","-","-","-","-","-",3,3,16,"0.6","-50",0,0,511,"Serial","40.8527668,-115.7477677","Roll",1,0
"LA","7 secs","2020-03-12 12:51.55pm","2020-03-12 12:51.48pm",7,"1165 E Jennings Way [Nv-535] Elko NV 89801","+","+","-","-","-","-","-",3,5,17,"0.6","-40",0,0,510,"Serial","40.8535849,-115.7486636","Started Moving",1,0
"LA","7 secs","2020-03-12 12:51.25pm","2020-03-12 12:51.18pm",1,"2555 E Jennings Way Elko NV 89801","+","+","-","-","-","-","-",3,0,16,"0.6","-39",0,0,509,"Serial","40.8534025,-115.7490579","",0,0
"LA","13 secs","2020-03-12 12:51.25pm","2020-03-12 12:51.12pm",1,"2555 E Jennings Way Elko NV 89801","+","+","-","-","-","-","-",3,37,15,"0.8","-39",0,0,508,"Serial","40.8533395,-115.7490512","Ignition On",0,0
"LA","12 secs","2020-03-12 11:36.27am","2020-03-12 11:36.15am",0,"2555 E Jennings Way Elko NV 89801","-","-","-","-","-","-","-",3,0,14,"0.6","-41",0,0,507,"Serial","40.8532389,-115.7490901","",0,0
"LA","8 secs","2020-03-12 11:34.23am","2020-03-12 11:34.15am",0,"2555 E Jennings Way Elko NV 89801","-","-","-","-","-","-","-",3,0,13,"0.6","-32",0,0,506,"Serial","40.8532376,-115.7490901","",0,0
"LA","4 secs","2020-03-12 11:32.18am","2020-03-12 11:32.14am",0,"2555 E Jennings Way Elko NV 89801","-","-","-","-","-","-","-",3,38,12,"0.8","-38",0,0,505,"Serial","40.8532376,-115.7490901","Ignition Off",0,1
