G,Point Latency,Time Received,Time Captured,MPH,Address,I0,Engine On,I1,I2,I3,I4,I5,GPS,Event Code,Sat,HDOP,RSSI,C,F,Seq,Index,"Lat, Lon",Triggered By,Δ Odo hm,Δ Eng min
LA,5 secs,2020-02-14 2:22.09pm,2020-02-14 2:22.04pm,74,I-475 [I-475/Ga-408] Macon GA 31206,+,+,-,-,-,-,-,3,8,17,0.6,-72,0,0,2087,Serial,"32.7874671,-83.7197454",Moving,40,2
LA,5 secs,2020-02-14 2:20.09pm,2020-02-14 2:20.04pm,74,I-475 [I-475/Ga-408] Macon GA 31210,+,+,-,-,-,-,-,3,8,17,0.6,-58,0,0,2086,Serial,"32.8218074,-83.7301014",Moving,39,2
LA,4 secs,2020-02-14 2:18.09pm,2020-02-14 2:18.05pm,72,I-475 [I-475/Ga-408] Macon GA 31210,+,+,-,-,-,-,-,3,8,16,0.6,-49,0,0,2085,Serial,"32.8549274,-83.7434011",Moving,40,2
LA,"1 min, 33 secs",2020-02-14 2:17.37pm,2020-02-14 2:16.04pm,74,I-475 [I-475/Ga-408] Macon GA 31210,+,+,-,-,-,-,-,3,8,15,0.6,-68,0,0,2084,Serial,"32.8820002,-83.7712853",Moving,39,2
LA,5 secs,2020-02-14 2:14.09pm,2020-02-14 2:14.04pm,71,I-475 [I-475/Ga-408] Macon GA 31210,+,+,-,-,-,-,-,3,8,15,0.6,-78,0,0,2083,Serial,"32.9113463,-83.7947359",Moving,40,2
LA,8 secs,2020-02-14 2:12.12pm,2020-02-14 2:12.04pm,72,I-475 [I-475/Ga-408] Macon GA 31210,+,+,-,-,-,-,-,3,8,16,0.6,-65,0,0,2082,Serial,"32.9438211,-83.8118725",Moving,38,2
LA,6 secs,2020-02-14 2:10.11pm,2020-02-14 2:10.05pm,69,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,16,0.6,-79,0,0,2081,Serial,"32.9738096,-83.8281361",Moving,38,2
LA,33 secs,2020-02-14 2:08.37pm,2020-02-14 2:08.04pm,76,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,15,0.6,-84,0,0,2080,Serial,"32.9975592,-83.8560056",Moving,40,2
LA,21 secs,2020-02-14 2:06.26pm,2020-02-14 2:06.05pm,74,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,16,0.6,-74,0,0,2079,Serial,"33.0178984,-83.8907804",Moving,39,2
LA,8 secs,2020-02-14 2:04.12pm,2020-02-14 2:04.04pm,71,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,16,0.6,-73,0,0,2078,Serial,"33.0370976,-83.9265276",Moving,39,2
LA,7 secs,2020-02-14 2:02.11pm,2020-02-14 2:02.04pm,63,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,16,0.6,-45,0,0,2077,Serial,"33.058739,-83.9583024",Moving,27,2
LA,7 secs,2020-02-14 2:00.11pm,2020-02-14 2:00.04pm,56,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,15,0.6,-57,0,0,2076,Serial,"33.0742556,-83.9801396",Moving,38,2
LA,5 secs,2020-02-14 1:58.10pm,2020-02-14 1:58.05pm,71,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,15,0.6,-72,0,0,2075,Serial,"33.102105,-84.0006478",Moving,39,2
LA,"1 min, 6 secs",2020-02-14 1:57.11pm,2020-02-14 1:56.05pm,71,I-75 [I-75/Ga-401] Forsyth GA 31029,+,+,-,-,-,-,-,3,8,14,0.8,-70,0,0,2074,Serial,"33.1335727,-84.016222",Moving,40,2
